Row ID,Customer Key,Product Key,Location Key,Order_Date_Key,Ship_Date_Key,Order ID,Ship Mode,Sales,Quantity,Discount,Profit
1,1,1,1,1011,1014,CA-2016-152156,Second Class,261.96,2,0.0,41.9136
2,1,2,1,1011,1014,CA-2016-152156,Second Class,731.94,3,0.0,219.582
3,2,3,2,863,867,CA-2016-138688,Second Class,14.62,2,0.0,6.8714
4,3,4,3,623,630,US-2015-108966,Standard Class,957.5775,5,0.45,-383.031
5,3,5,3,623,630,US-2015-108966,Standard Class,22.368,2,0.2,2.5164
6,4,6,4,151,156,CA-2014-115812,Standard Class,48.86,7,0.0,14.1694
7,4,7,4,151,156,CA-2014-115812,Standard Class,7.28,4,0.0,1.9656
8,4,8,4,151,156,CA-2014-115812,Standard Class,907.152,6,0.2,90.7152
9,4,9,4,151,156,CA-2014-115812,Standard Class,18.504,3,0.2,5.7825
10,4,10,4,151,156,CA-2014-115812,Standard Class,114.9,5,0.0,34.47
11,4,11,4,151,156,CA-2014-115812,Standard Class,1706.184,9,0.2,85.3092
12,4,12,4,151,156,CA-2014-115812,Standard Class,911.424,4,0.2,68.3568
13,5,13,5,1169,1174,CA-2017-114412,Standard Class,15.552,3,0.2,5.4432
14,6,14,6,1038,1043,CA-2016-161389,Standard Class,407.976,3,0.2,132.5922
15,7,15,7,664,668,US-2015-118983,Standard Class,68.81,5,0.8,-123.858
16,7,16,7,664,668,US-2015-118983,Standard Class,2.544,3,0.8,-3.816
17,8,17,8,304,311,CA-2014-105893,Standard Class,665.88,6,0.0,13.3176
18,9,18,9,124,126,CA-2014-167164,Second Class,55.5,2,0.0,9.99
19,10,19,10,228,233,CA-2014-143336,Second Class,8.56,2,0.0,2.4824
20,10,20,10,228,233,CA-2014-143336,Second Class,213.48,3,0.2,16.011
21,10,21,10,228,233,CA-2014-143336,Second Class,22.72,4,0.2,7.384
22,11,22,11,1042,1046,CA-2016-137330,Standard Class,19.46,7,0.0,5.0596
23,11,23,11,1042,1046,CA-2016-137330,Standard Class,60.34,7,0.0,15.6884
24,12,24,12,1261,1263,US-2017-156909,Second Class,71.372,2,0.3,-1.0196
25,13,4,13,607,612,CA-2015-106320,Standard Class,1044.63,3,0.0,240.2649
26,14,25,14,718,721,CA-2016-121755,Second Class,11.648,2,0.2,4.2224
27,14,26,14,718,721,CA-2016-121755,Second Class,90.57,3,0.0,11.7741
28,15,27,12,599,603,US-2015-150630,Standard Class,3083.43,7,0.5,-1665.0522
29,15,28,12,599,603,US-2015-150630,Standard Class,9.618,2,0.7,-7.0532
30,15,29,12,599,603,US-2015-150630,Standard Class,124.2,3,0.2,15.525
31,15,30,12,599,603,US-2015-150630,Standard Class,3.264,2,0.2,1.1016
32,15,31,12,599,603,US-2015-150630,Standard Class,86.304,6,0.2,9.7092
33,15,32,12,599,603,US-2015-150630,Standard Class,6.858,6,0.7,-5.715
34,15,33,12,599,603,US-2015-150630,Standard Class,15.76,2,0.2,3.546
35,16,34,15,1356,1360,CA-2017-107727,Second Class,29.472,3,0.2,9.9468
36,17,35,16,1041,1043,CA-2016-117590,First Class,1097.544,7,0.2,123.4737
37,17,36,16,1041,1043,CA-2016-117590,First Class,190.92,5,0.6,-147.963
38,18,37,17,699,703,CA-2015-117415,Standard Class,113.328,9,0.2,35.415
39,18,38,17,699,703,CA-2015-117415,Standard Class,532.3992,3,0.32,-46.9764
40,18,39,17,699,703,CA-2015-117415,Standard Class,212.058,3,0.3,-15.147
41,18,40,17,699,703,CA-2015-117415,Standard Class,371.168,4,0.2,41.7564
42,19,41,18,1317,1322,CA-2017-120999,Standard Class,147.168,4,0.2,16.5564
43,20,42,14,897,902,CA-2016-101343,Standard Class,77.88,2,0.0,3.894
44,21,43,19,1326,1330,CA-2017-139619,Standard Class,95.616,2,0.2,9.5616
45,22,44,20,771,773,CA-2016-118255,First Class,45.98,2,0.0,19.7714
46,22,45,20,771,773,CA-2016-118255,First Class,17.46,2,0.0,8.2062
47,23,46,21,282,287,CA-2014-146703,Second Class,211.96,4,0.0,8.4784
48,24,47,22,871,876,CA-2016-169194,Standard Class,45.0,3,0.0,4.95
49,24,48,22,871,876,CA-2016-169194,Standard Class,21.8,2,0.0,6.104
50,25,49,23,451,455,CA-2015-115742,Standard Class,38.22,6,0.0,17.9634
51,25,50,23,451,455,CA-2015-115742,Standard Class,75.18,6,0.0,35.3346
52,25,51,23,451,455,CA-2015-115742,Standard Class,6.16,2,0.0,2.9568
53,25,52,23,451,455,CA-2015-115742,Standard Class,89.99,1,0.0,17.0981
54,26,53,24,1044,1050,CA-2016-105816,Standard Class,15.26,7,0.0,6.2566
55,26,54,24,1044,1050,CA-2016-105816,Standard Class,1029.95,5,0.0,298.6855
56,27,55,25,868,869,CA-2016-111682,First Class,208.56,6,0.0,52.14
57,27,56,25,868,869,CA-2016-111682,First Class,32.4,5,0.0,15.552
58,27,57,25,868,869,CA-2016-111682,First Class,319.41,5,0.1,7.098
59,27,58,25,868,869,CA-2016-111682,First Class,14.56,2,0.0,6.9888
60,27,47,25,868,869,CA-2016-111682,First Class,30.0,2,0.0,3.3
61,27,59,25,868,869,CA-2016-111682,First Class,48.48,4,0.2,16.362
62,27,60,25,868,869,CA-2016-111682,First Class,1.68,1,0.0,0.84
63,28,61,26,666,672,CA-2015-135545,Standard Class,13.98,2,0.0,6.1512
64,28,62,26,666,672,CA-2015-135545,Standard Class,25.824,6,0.2,9.3612
65,28,63,26,666,672,CA-2015-135545,Standard Class,146.73,3,0.0,68.9631
66,28,64,26,666,672,CA-2015-135545,Standard Class,79.76,4,0.0,22.3328
67,29,65,27,463,468,US-2015-164175,Standard Class,213.115,5,0.3,-15.2225
68,30,66,28,328,333,CA-2014-106376,Standard Class,1113.024,8,0.2,111.3024
69,30,67,28,328,333,CA-2014-106376,Standard Class,167.968,4,0.2,62.988
